id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
1688,AG Praveen,2010-2014,17,97,16.16,77.6,6,2,2010,2014,5,Inexperienced - Potential Anchor
1689,VP Rawal,2015-2015,5,97,32.33,159.01,7,4,2015,2015,1,Inexperienced - Potential Power Hitter
1690,HH Gadekar,2010-2014,14,96,24.0,133.33,5,4,2010,2014,5,Inexperienced - Potential Anchor
1691,SD Atitkar,2010-2011,9,96,10.66,71.11,8,1,2010,2011,2,Inexperienced - Potential Power Hitter
1692,Faizan Khan,2018-2018,3,96,32.0,109.09,7,4,2018,2018,1,Inexperienced - Potential Power Hitter
1693,BC Fortuin,2023-2025,34,96,8.0,78.04,7,0,2023,2025,3,Inexperienced - Potential Power Hitter
1694,G Khera,2010-2016,11,96,19.2,110.34,7,2,2010,2016,7,Inexperienced - Potential Anchor
1695,VY Mahesh,2007-2014,46,96,9.6,105.49,8,3,2007,2014,8,Inexperienced - Potential Power Hitter
1696,Marshall Ayub,2012-2019,8,96,16.0,98.96,8,2,2012,2019,8,Inexperienced - Potential Anchor
1697,BH Merai,2018-2019,6,96,32.0,92.3,7,0,2018,2019,2,Inexperienced - Potential Anchor
1698,NR Narah,2022-2022,7,96,16.0,101.05,8,4,2022,2022,1,Inexperienced - Potential Power Hitter
1699,RA Parab,2007-2007,3,96,32.0,105.49,11,1,2007,2007,1,Inexperienced - Potential Power Hitter
1700,R Sai Kishore,2018-2025,81,96,6.4,98.96,3,6,2018,2025,8,Inexperienced - Potential Power Hitter
1701,M Ahmed,2019-2019,7,95,19.0,111.76,7,6,2019,2019,1,Inexperienced - Potential Power Hitter
1702,Asif Ahmed,2012-2015,14,95,11.87,103.26,12,0,2012,2015,4,Inexperienced - Potential Power Hitter
1703,Enamul Haque (2),2016-2024,7,95,47.5,107.95,4,6,2016,2024,9,Anchor
1704,S Ganga,2009-2013,14,95,19.0,141.79,7,4,2009,2013,5,Inexperienced - Potential Anchor
1705,SS Garhwal,2022-2024,9,95,13.57,141.79,8,6,2022,2024,3,Inexperienced - Potential Power Hitter
1706,M Kelly,2018-2025,39,95,11.87,121.79,5,4,2018,2025,8,Inexperienced - Potential Anchor
1707,AD Poynter,2014-2016,6,95,23.75,137.68,8,5,2014,2016,3,Inexperienced - Potential Power Hitter
1708,SS Ruikar,2015-2023,35,95,7.3,97.93,6,2,2015,2023,9,Inexperienced - Potential Power Hitter
1709,Sandeep Singh,2007-2010,16,95,15.83,83.33,3,1,2007,2010,4,Inexperienced - Potential Anchor
1710,AA Ansari,2009-2015,9,94,18.8,136.23,13,1,2009,2015,7,Inexperienced - Potential Anchor
1711,JJ Bumrah,2013-2025,193,94,9.4,87.03,6,3,2013,2025,13,Finisher
1712,Nayeem Hasan,2017-2024,30,94,6.26,70.67,6,2,2017,2024,8,Inexperienced - Potential Power Hitter
1713,S Rithik Easwaran,2024-2024,5,94,23.5,149.2,5,8,2024,2024,1,Inexperienced - Potential Power Hitter
1714,J Tromp,2024-2024,8,94,18.8,118.98,9,2,2024,2024,1,Inexperienced - Potential Power Hitter
1715,Vikash Vishal,2021-2023,7,94,18.8,111.9,10,2,2021,2023,3,Inexperienced - Potential Anchor
1716,Bal Krishna,2021-2024,16,93,15.5,132.85,8,5,2021,2024,4,Inexperienced - Potential Anchor
1717,PP Das,2015-2021,6,93,18.6,103.33,11,2,2015,2021,7,Inexperienced - Potential Anchor
1718,GHS Garton,2021-2025,20,93,8.45,113.41,8,3,2021,2025,5,Inexperienced - Potential Power Hitter
1719,JN Hamilton,2013-2025,10,93,11.62,88.57,7,2,2013,2025,13,Inexperienced - Potential Power Hitter
1720,JP Kreusch,2010-2011,7,93,23.25,105.68,5,2,2010,2011,2,Inexperienced - Potential Power Hitter
1721,CS MacLeod,2009-2022,13,93,8.45,77.5,6,0,2009,2022,14,Inexperienced - Potential Power Hitter
1722,Rajesh Mohanty,2019-2024,21,93,9.3,94.89,5,5,2019,2024,6,Inexperienced - Potential Power Hitter
1723,RH Saha,2007-2014,14,93,7.75,72.65,11,0,2007,2014,8,Inexperienced - Potential Power Hitter
1724,AV Ankolekar,2021-2024,15,92,18.4,139.39,1,7,2021,2024,4,Inexperienced - Potential Anchor
1725,AK Kitchen,2012-2012,5,92,30.66,146.03,10,4,2012,2012,1,Inexperienced - Potential Power Hitter
1726,SA Pai,2009-2010,4,92,23.0,106.97,7,1,2009,2010,2,Inexperienced - Potential Power Hitter
1727,DB Rangi,2021-2022,8,92,30.66,116.45,7,4,2021,2022,2,Inexperienced - Potential Anchor
1728,PL Chettri,2023-2024,11,91,8.27,56.17,4,2,2023,2024,2,Inexperienced - Potential Power Hitter
1729,RA Lewis,2019-2020,8,91,18.2,128.16,3,6,2019,2020,2,Inexperienced - Potential Power Hitter
1730,Mohammed Taha,2016-2017,5,91,18.2,109.63,10,3,2016,2017,2,Inexperienced - Potential Power Hitter
1731,PJ Pramanik,2018-2024,25,91,13.0,130.0,6,4,2018,2024,7,Inexperienced - Potential Anchor
1732,Shakeeb Ahmed,2017-2019,16,91,15.16,135.82,8,3,2017,2019,3,Inexperienced - Potential Power Hitter
1733,TAM Siriwardana,2011-2020,12,91,10.11,118.18,9,3,2011,2020,10,Inexperienced - Potential Power Hitter
1734,S Vesawkar,2014-2014,3,91,30.33,108.33,12,0,2014,2014,1,Inexperienced - Potential Power Hitter
1735,BA Bhatt,2011-2021,58,90,11.25,123.28,7,4,2011,2021,11,Inexperienced - Potential Anchor
1736,CT Gaja,2014-2024,43,90,11.25,92.78,1,5,2014,2024,11,Inexperienced - Potential Power Hitter
1737,Waseem Raza,2014-2021,27,90,6.92,74.38,3,1,2014,2021,8,Inexperienced - Potential Power Hitter
1738,Arjit Pannu,2021-2023,12,89,14.83,115.58,5,5,2021,2023,3,Inexperienced - Potential Anchor
