id,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,Predicted_Category
299,AD Nath,2013-2022,86,1310,22.98,115.52,111,34,2013,2022,10,Anchor
300,AM Hardie,2019-2025,68,1307,27.8,130.7,94,52,2019,2025,7,Anchor
301,BJ Haddin,2007-2017,66,1300,23.63,127.95,112,53,2007,2017,11,Anchor
302,P Nissanka,2021-2024,50,1296,25.92,123.19,129,31,2021,2024,4,Anchor
303,Shahbaz Ahmed,2019-2025,107,1295,25.9,135.88,74,66,2019,2025,7,Anchor
304,AM Nayar,2007-2017,95,1291,21.51,123.77,107,49,2007,2017,11,Anchor
305,PSP Handscomb,2012-2025,87,1285,22.94,118.32,102,29,2012,2025,14,Anchor
306,JM Clarke,2020-2024,51,1282,27.27,134.66,106,54,2020,2024,5,Anchor
307,PR Prem,2007-2019,57,1275,28.33,113.73,115,25,2007,2019,13,Anchor
308,R Shepherd,2018-2025,120,1273,23.57,161.13,85,96,2018,2025,8,Anchor
309,CJ Gandhi,2011-2023,73,1266,30.87,125.22,100,39,2011,2023,13,Anchor
310,KR Patterson,2012-2025,65,1264,21.79,120.38,110,31,2012,2025,14,Anchor
311,Sharjeel Khan,2016-2023,56,1263,23.83,138.33,122,78,2016,2023,8,Anchor
312,Abishek Porel,2022-2025,50,1257,29.92,151.26,130,49,2022,2025,4,Anchor
313,S Anirudha,2007-2019,71,1257,26.18,124.57,119,47,2007,2019,13,Anchor
314,J Botha,2009-2021,144,1257,19.95,118.47,104,24,2009,2021,13,Anchor
315,SM Curran,2019-2025,94,1252,22.35,131.65,100,56,2019,2025,7,Anchor
316,Anuj Rawat,2019-2024,70,1251,26.06,121.22,107,55,2019,2024,6,Anchor
317,R Bhatia,2007-2019,146,1251,21.56,115.94,85,43,2007,2019,13,Anchor
318,FY Fazal,2007-2019,65,1246,20.76,105.86,120,17,2007,2019,13,Anchor
319,Mohammad Shahzad,2010-2022,52,1243,24.86,125.42,136,51,2010,2022,13,Anchor
320,Washington Sundar,2017-2025,106,1235,20.93,121.67,98,38,2017,2025,9,Anchor
321,RS Paliwal,2013-2024,66,1231,22.79,118.82,115,11,2013,2024,12,Anchor
322,UM Patel,2018-2025,50,1230,26.17,172.26,139,60,2018,2025,8,Anchor
323,BA Stokes,2015-2023,61,1229,25.08,134.02,104,44,2015,2023,9,Anchor
324,Zakir Hasan,2016-2025,72,1229,21.18,124.14,115,48,2016,2025,10,Anchor
325,Sohail Tanvir,2007-2022,187,1223,16.75,115.05,86,56,2007,2022,16,Anchor
326,TD Paine,2010-2022,52,1219,24.87,117.21,125,27,2010,2022,13,Anchor
327,Pratham Singh,2019-2024,44,1213,29.58,125.69,134,31,2019,2024,6,Anchor
328,Hussain Talat,2017-2025,73,1212,24.73,124.43,104,36,2017,2025,9,Anchor
329,CP Jewell,2018-2025,60,1210,21.6,125.64,130,27,2018,2025,8,Anchor
330,Haider Ali,2020-2025,78,1206,19.45,137.67,104,63,2020,2025,6,Anchor
331,Bipul Sharma,2007-2021,105,1203,23.58,138.59,81,55,2007,2021,15,Anchor
332,Faheem Ashraf,2018-2025,112,1197,22.16,148.14,99,67,2018,2025,8,Anchor
333,PN Mankad,2016-2024,55,1192,29.8,143.78,122,43,2016,2024,9,Anchor
334,SN Khan,2014-2023,96,1188,22.41,128.29,116,33,2014,2023,10,Anchor
335,ST Jayasuriya,2007-2012,56,1187,23.27,134.42,129,55,2007,2012,6,Anchor
336,PR Stirling,2009-2025,66,1186,19.12,133.7,146,42,2009,2025,17,Anchor
337,KIC Asalanka,2020-2024,59,1180,23.6,129.1,100,51,2020,2024,5,Anchor
338,JEC Franklin,2009-2017,64,1179,31.02,116.5,73,45,2009,2017,9,Anchor
339,Azhar Mahmood,2012-2016,57,1175,26.11,130.41,117,42,2012,2016,5,Anchor
340,JL Denly,2013-2021,53,1170,24.89,112.5,115,35,2013,2021,9,Anchor
341,M Manhas,2007-2017,91,1170,21.66,104.55,102,21,2007,2017,11,Anchor
342,SM Katich,2008-2014,66,1168,25.39,123.86,120,26,2008,2014,7,Anchor
343,Ariful Haque,2012-2025,93,1167,20.47,120.18,76,44,2012,2025,14,Anchor
344,SS Prabhudessai,2019-2024,53,1167,31.54,137.45,110,41,2019,2024,6,Anchor
345,CJ Green,2015-2025,195,1162,14.0,128.68,83,33,2015,2025,11,Anchor
346,T Kohler-Cadmore,2018-2025,58,1160,22.74,132.26,93,64,2018,2025,8,Anchor
347,HV Patel,2011-2025,186,1158,15.44,139.01,110,64,2011,2025,15,Anchor
348,M Rawat,2007-2018,62,1153,33.91,122.65,111,25,2007,2018,12,Anchor
349,BB Samantray,2009-2021,71,1146,20.1,117.05,88,34,2009,2021,13,Anchor
350,B Aparajith,2013-2023,62,1144,27.9,109.05,80,31,2013,2023,11,Anchor
351,C Bishnoi,2016-2022,50,1141,27.16,113.64,112,29,2016,2022,7,Anchor
352,Sohaib Maqsood,2014-2023,54,1131,26.3,126.22,99,52,2014,2023,10,Anchor
353,DC Thomas,2013-2022,87,1128,18.49,117.5,94,49,2013,2022,10,Anchor
354,SP Khajuria,2013-2024,47,1124,27.41,122.44,109,43,2013,2024,12,Anchor
355,M Kaif,2007-2017,69,1121,21.55,102.37,107,25,2007,2017,11,Anchor
356,UD Yadav,2014-2024,42,1119,37.3,137.3,84,53,2014,2024,11,Anchor
357,FA Allen,2017-2025,108,1117,18.01,144.68,76,70,2017,2025,9,Anchor
358,A Symonds,2007-2011,51,1117,31.91,129.13,91,43,2007,2011,5,Anchor
359,Jahurul Islam,2010-2022,80,1115,19.22,111.16,91,30,2010,2022,13,Anchor
360,PSK Gupta,2011-2019,37,1111,33.66,121.15,125,26,2011,2019,9,Anchor
361,AA Waghmode,2011-2019,39,1108,34.62,128.68,118,30,2011,2019,9,Anchor
362,PM Sahani,2015-2023,53,1106,31.6,123.16,80,42,2015,2023,9,Anchor
363,AC Blizzard,2009-2018,58,1098,23.36,123.64,112,31,2009,2018,10,Anchor
364,GC Smith,2007-2011,45,1091,25.97,112.01,140,14,2007,2011,5,Anchor
365,RP Kadam,2019-2024,31,1089,41.88,128.26,121,29,2019,2024,6,Anchor
366,AL Menaria,2011-2022,72,1085,18.7,115.67,85,43,2011,2022,12,Anchor
367,R Ashwin,2007-2025,291,1080,13.5,118.16,87,36,2007,2025,19,Anchor
368,Junaid Siddique,2007-2020,48,1080,24.0,130.27,112,39,2007,2020,14,Anchor
369,NS Naik,2013-2024,66,1077,27.61,128.82,70,50,2013,2024,12,Anchor
370,Lalit Yadav,2018-2024,82,1077,29.1,135.13,106,37,2018,2024,7,Anchor
371,PW Hasaranga,2017-2025,111,1073,17.59,155.73,117,40,2017,2025,9,Anchor
372,DJ Mitchell,2014-2025,51,1073,26.82,130.37,85,33,2014,2025,12,Anchor
373,NCR Larkin,2016-2023,58,1069,30.54,120.38,107,17,2016,2023,8,Anchor
374,Abdullah Shafique,2022-2025,39,1068,29.66,140.15,96,42,2022,2025,4,Anchor
375,SA Roy,2012-2024,53,1063,27.25,128.07,117,26,2012,2024,13,Anchor
376,T Kohli,2008-2022,57,1057,24.58,102.12,101,21,2008,2022,15,Anchor
377,P Arya,2021-2025,35,1048,30.82,172.08,109,61,2021,2025,5,Anchor
378,G Rahul Singh,2013-2024,52,1046,25.51,137.81,106,34,2013,2024,12,Anchor
379,CJ Anderson,2014-2025,76,1044,19.69,112.5,67,51,2014,2025,12,Anchor
380,MD Gunathilaka,2014-2024,40,1041,28.91,132.61,120,33,2014,2024,11,Anchor
381,P Bisht,2007-2022,66,1038,21.18,141.8,110,38,2007,2022,16,Anchor
382,DR Shorey,2013-2023,48,1030,27.83,118.11,87,34,2013,2023,11,Anchor
383,JL Carter,2013-2021,65,1023,22.23,110.83,74,42,2013,2021,9,Anchor
384,BRM Taylor,2007-2020,41,1021,29.17,127.3,98,33,2007,2020,14,Anchor
385,MB Murasingh,2009-2024,73,1019,19.22,136.41,69,53,2009,2024,16,Anchor
386,R Bishnoi,2007-2021,60,1016,19.92,137.48,70,65,2007,2021,15,Anchor
387,RS Kunnummal,2019-2024,33,1015,35.0,132.33,118,30,2019,2024,6,Anchor
388,HM Desai,2019-2024,35,1014,32.7,139.47,129,35,2019,2024,6,Anchor
389,MS Harris,2014-2025,54,1012,19.46,118.64,107,28,2014,2025,12,Anchor
390,PP Das,2012-2023,55,1008,20.57,138.46,113,38,2012,2023,12,Anchor
391,JG Bista,2015-2023,34,1001,33.36,135.82,114,33,2015,2023,9,Anchor
392,Sohail Akhtar,2018-2022,47,1001,27.8,124.81,97,40,2018,2022,5,Anchor
393,RJ Quiney,2009-2018,57,995,19.9,122.83,94,39,2009,2018,10,Anchor
394,LR Shukla,2007-2015,81,994,20.7,120.63,72,40,2007,2015,9,Anchor
395,N Wadhera,2023-2025,49,991,27.52,140.76,81,51,2023,2025,3,Anchor
396,TR Birt,2011-2015,47,989,24.12,137.93,83,46,2011,2015,5,Anchor
397,Swapnil Singh,2007-2024,89,988,22.45,128.81,64,48,2007,2024,18,Anchor
398,SSJ Brooks,2016-2024,50,984,24.0,127.29,71,42,2016,2024,9,Anchor
399,DR Sams,2017-2025,115,980,13.24,139.2,59,60,2017,2025,9,Anchor
400,AR Easwaran,2017-2023,34,976,37.53,128.59,84,25,2017,2023,7,Anchor
401,Shahriar Nafees,2012-2019,45,976,25.68,105.97,106,18,2012,2019,8,Anchor
402,AR Sharma,2018-2025,44,976,32.53,177.45,74,69,2018,2025,8,Anchor
403,Mahedi Hasan,2016-2025,98,973,18.35,124.1,85,50,2016,2025,10,Anchor
404,Shamsur Rahman,2012-2024,51,970,24.25,117.29,80,32,2012,2024,13,Anchor
405,AK Bains,2013-2024,62,969,19.38,112.54,112,22,2013,2024,12,Anchor
406,WU Tharanga,2007-2021,40,968,26.88,119.5,112,21,2007,2021,15,Anchor
407,S Bhambri,2019-2024,33,964,33.24,136.73,94,41,2019,2024,6,Anchor
408,MJ Owen,2021-2025,48,960,25.26,186.4,78,71,2021,2025,5,Anchor
409,RA Reifer,2013-2024,83,958,19.95,110.24,66,39,2013,2024,12,Anchor
410,NK Patel,2007-2013,37,957,34.17,119.02,105,16,2007,2013,7,Anchor
411,Tanzid Hasan,2022-2025,33,956,29.87,133.14,67,58,2022,2025,4,Anchor
412,Ziaur Rahman,2012-2025,84,953,19.85,126.22,67,63,2012,2025,14,Anchor
413,MC Juneja,2011-2021,44,952,28.84,126.59,93,17,2011,2021,11,Anchor
414,JN Mohammed,2011-2021,60,952,25.05,101.92,60,35,2011,2021,11,Anchor
415,K Deobrat,2013-2023,73,951,18.28,115.97,84,40,2013,2023,11,Anchor
416,KMA Paul,2017-2024,110,951,16.68,129.21,52,62,2017,2024,8,Anchor
417,NH Verma,2013-2023,50,947,20.14,102.6,100,9,2013,2023,11,Anchor
418,J Brown,2022-2025,40,945,23.62,148.81,81,65,2022,2025,4,Anchor
419,NS Shaikh,2017-2022,45,942,28.54,123.78,82,21,2017,2022,6,Anchor
420,TP Ludeman,2011-2018,55,941,26.13,121.73,89,29,2011,2018,8,Anchor
421,SD Lad,2013-2022,60,939,22.9,118.86,81,33,2013,2022,10,Anchor
422,N Dickwella,2020-2024,51,928,19.74,144.54,122,24,2020,2024,5,Anchor
423,ER Dwivedi,2010-2018,47,923,34.18,124.22,95,27,2010,2018,9,Anchor
424,Himmat Singh,2018-2025,58,917,28.65,132.51,76,40,2018,2025,8,Anchor
425,SS Mundhe,2007-2022,51,914,26.11,122.68,84,26,2007,2022,16,Anchor
426,Shamim Hossain,2021-2025,53,910,23.33,137.25,76,43,2021,2025,5,Anchor
427,PHKD Mendis,2020-2025,47,906,24.48,121.61,82,25,2020,2025,6,Anchor
428,Sahibzada Farhan,2018-2025,34,906,30.2,134.02,101,34,2018,2025,8,Anchor
429,PJ Cummins,2011-2025,130,900,19.14,140.62,54,57,2011,2025,15,Anchor
430,C Hemraj,2018-2023,46,900,20.45,117.8,84,43,2018,2023,6,Anchor
431,M Gilkes,2019-2025,54,899,19.54,117.36,91,22,2019,2025,7,Anchor
432,MD Mishra,2007-2015,48,899,20.43,133.18,115,26,2007,2015,9,Anchor
433,BP Sandeep,2013-2021,47,892,25.48,123.71,59,30,2013,2021,9,Anchor
434,AC Agar,2013-2025,107,882,16.03,114.99,54,36,2013,2025,13,Anchor
435,K Lewis,2014-2024,48,880,19.13,126.61,65,61,2014,2024,11,Anchor
436,SK Patel,2013-2025,41,878,26.6,108.79,90,19,2013,2025,13,Anchor
437,ID Singh,2007-2021,48,876,19.9,97.87,92,15,2007,2021,15,Anchor
438,AR Bawne,2011-2024,42,875,35.0,131.57,83,31,2011,2024,14,Anchor
439,RK Das,2013-2023,43,873,22.97,115.62,114,10,2013,2023,11,Anchor
440,Shuvagata Hom,2012-2024,96,865,14.91,124.1,78,31,2012,2024,13,Anchor
441,Shivam Chauhan,2017-2022,33,864,29.79,122.2,92,15,2017,2022,6,Anchor
442,Ganesh Satish,2010-2023,58,861,18.31,98.06,73,11,2010,2023,14,Anchor
443,N Saini,2009-2019,57,858,18.65,101.77,81,7,2009,2019,11,Anchor
444,R Vinay Kumar,2007-2019,170,858,15.32,126.17,58,37,2007,2019,13,Anchor
445,CH Morris,2012-2021,109,856,22.52,155.07,63,43,2012,2021,10,Anchor
446,Mohammad Ashraful,2007-2019,41,855,23.75,119.41,86,22,2007,2019,13,Anchor
447,MH Devdhar,2016-2021,37,852,23.66,121.19,95,21,2016,2021,6,Anchor
448,S Gani,2021-2024,31,852,34.08,127.73,74,35,2021,2024,4,Anchor
449,EMDY Munaweera,2012-2023,48,851,17.72,113.46,108,25,2012,2023,12,Anchor
450,LA Pomersbach,2008-2014,35,849,30.32,130.01,91,28,2008,2014,7,Anchor
451,DW Misal,2013-2024,73,847,18.02,116.02,65,34,2013,2024,12,Anchor
452,R Jonathan,2009-2024,47,844,20.58,98.36,75,19,2009,2024,16,Anchor
453,SD Heazlett,2015-2023,50,840,17.87,123.89,68,33,2015,2023,9,Anchor
454,JJS Sangha,2018-2025,34,836,32.15,121.15,65,21,2018,2025,8,Anchor
455,Parvez Rasool,2011-2022,70,835,19.88,105.83,68,22,2011,2022,12,Anchor
456,O Davies,2020-2025,48,834,20.34,130.1,53,38,2020,2025,6,Anchor
457,S Chaudhary,2017-2024,34,829,25.9,119.97,84,24,2017,2024,8,Anchor
458,Mohammed Azharuddeen,2016-2024,48,829,20.21,132.0,68,37,2016,2024,9,Anchor
459,YV Dhull,2022-2024,28,826,41.3,124.21,86,26,2022,2024,3,Anchor
460,N Gangta,2013-2023,49,826,26.64,139.05,84,26,2013,2023,11,Anchor
461,PK Garg,2019-2024,51,821,20.02,120.55,67,27,2019,2024,6,Anchor
462,DJ Harris,2010-2014,41,818,24.78,113.92,81,22,2010,2014,5,Anchor
463,C Green,2019-2024,43,816,32.64,145.71,69,32,2019,2024,6,Anchor
464,Ravi Chauhan,2017-2022,30,815,30.18,114.78,91,12,2017,2022,6,Anchor
465,SB Vyas,2015-2024,39,814,25.43,140.1,70,45,2015,2024,10,Anchor
466,H Davids,2009-2018,34,803,29.74,123.34,73,30,2009,2018,10,Anchor
467,A Mishra,2007-2024,253,803,13.84,96.51,77,7,2007,2024,18,Anchor
468,P Negi,2011-2021,118,803,15.74,122.22,56,33,2011,2021,11,Anchor
469,Jaker Ali,2019-2025,62,802,25.06,127.3,44,46,2019,2025,7,Anchor
470,C Hari Nishaanth,2019-2023,35,798,26.6,124.29,75,32,2019,2023,5,Anchor
471,JD Ryder,2009-2017,40,797,20.43,125.9,88,25,2009,2017,9,Anchor
472,C de Grandhomme,2012-2023,55,794,20.35,138.56,59,40,2012,2023,12,Anchor
473,DM de Silva,2020-2024,47,794,22.05,126.03,71,23,2020,2024,5,Anchor
474,AGS Gous,2024-2025,38,794,30.53,132.99,76,35,2024,2025,2,Anchor
475,R Ravindra,2024-2025,40,792,21.4,147.48,75,35,2024,2025,2,Finisher
476,JT Smuts,2011-2025,33,791,26.36,127.78,83,29,2011,2025,15,Anchor
477,A Manohar,2021-2025,50,790,28.21,143.63,49,51,2021,2025,5,Anchor
478,Naeem Islam,2009-2025,52,790,23.23,110.02,66,25,2009,2025,17,Anchor
479,LA Dawson,2012-2025,80,789,17.53,115.85,51,32,2012,2025,14,Anchor
480,Samarth Singh,2014-2019,33,789,25.45,111.44,75,24,2014,2019,6,Anchor
481,VA Jagadeesh,2007-2016,40,788,25.41,105.63,63,7,2007,2016,10,Anchor
482,SM Whiteman,2013-2024,55,785,16.7,118.4,75,21,2013,2024,12,Anchor
483,BK Saurabh,2021-2024,23,784,37.33,137.54,64,46,2021,2024,4,Anchor
484,JL du Plooy,2023-2025,30,779,37.09,141.63,75,28,2023,2025,3,Anchor
485,HC Brook,2018-2024,44,778,26.82,138.18,80,19,2018,2024,7,Anchor
486,PC Valthaty,2009-2013,34,778,23.57,126.5,106,24,2009,2013,5,Anchor
487,RV Gomez,2007-2019,62,774,21.5,128.78,63,32,2007,2019,13,Anchor
488,DC Jurel,2021-2025,52,772,26.62,145.11,54,43,2021,2025,5,Anchor
489,Agha Salman,2014-2025,40,768,21.94,124.87,67,27,2014,2025,12,Anchor
490,Mashrafe Mortaza,2007-2024,134,768,13.24,127.15,53,47,2007,2024,18,Anchor
491,MV Boucher,2007-2011,60,764,25.46,117.53,62,21,2007,2011,5,Anchor
492,JR Hopes,2008-2016,56,764,20.1,121.07,87,12,2008,2016,9,Anchor
493,S Chandrakar,2018-2024,37,763,21.8,130.87,74,31,2018,2024,7,Anchor
494,NJ Reardon,2011-2018,44,762,24.58,124.91,48,34,2011,2018,8,Anchor
495,VS Hathwala,2015-2024,43,760,23.75,113.09,57,27,2015,2024,10,Anchor
496,DB Prasanth,2013-2021,48,760,19.48,110.94,69,30,2013,2021,9,Anchor
497,SB Dubey,2021-2025,39,758,36.09,153.75,44,48,2021,2025,5,Anchor
498,AP Devcich,2014-2019,39,751,22.08,125.79,79,22,2014,2019,6,Anchor
499,Amit Verma,2007-2021,52,747,21.97,115.81,49,35,2007,2021,15,Anchor
500,CD Bist,2018-2024,38,746,29.84,116.19,56,25,2018,2024,7,Anchor
501,MH Wessels,2013-2019,37,746,22.6,110.68,76,14,2013,2019,7,Anchor
502,KJ O'Brien,2009-2021,47,745,20.69,122.93,52,37,2009,2021,13,Anchor
503,YV Takawale,2007-2019,39,741,24.7,105.4,70,20,2007,2019,13,Anchor
504,Hazratullah Zazai,2019-2024,35,739,21.73,128.97,72,41,2019,2024,6,Anchor
505,K Gowtham,2011-2024,92,734,15.29,158.18,62,40,2011,2024,14,Anchor
506,JS Wadhwan,2016-2022,26,734,33.36,120.72,71,27,2016,2022,7,Anchor
507,DB Das,2008-2019,57,728,28.0,128.39,57,33,2008,2019,12,Anchor
508,D Ferreira,2023-2025,46,728,24.26,165.07,50,48,2023,2025,3,Anchor
509,A Mukund,2008-2018,35,728,26.96,110.3,67,7,2008,2018,11,Anchor
510,UU Bose,2013-2021,43,725,18.12,115.07,76,28,2013,2021,9,Anchor
511,R Sathish,2009-2017,67,722,19.0,128.92,62,23,2009,2017,9,Anchor
512,AS Raut,2009-2022,65,721,21.2,111.6,65,16,2009,2022,14,Anchor
513,JE Root,2012-2025,31,720,31.3,128.34,75,15,2012,2025,14,Anchor
514,AA Barot,2014-2021,20,717,37.73,146.62,85,21,2014,2021,8,Anchor
515,J Edwards,2018-2025,63,715,15.54,115.88,67,16,2018,2025,8,Anchor
516,Imran Nazir,2007-2018,27,709,29.54,149.89,75,33,2007,2018,12,Anchor
517,BB Das,2021-2024,22,704,35.2,121.79,82,9,2021,2024,4,Anchor
518,BJ Dwarshuis,2014-2025,124,704,20.11,148.21,46,36,2014,2025,12,Anchor
519,MW Harvey,2018-2025,45,704,20.11,117.72,62,18,2018,2025,8,Anchor
520,AJ Hosein,2014-2025,141,703,15.97,111.94,40,32,2014,2025,12,Anchor
521,AN Kazi,2019-2024,49,700,29.16,121.31,47,31,2019,2024,6,Anchor
522,KK Cooper,2011-2018,140,698,13.16,143.32,46,41,2011,2018,8,Anchor
523,SS Pundir,2015-2023,42,695,24.82,111.73,59,22,2015,2023,9,Anchor
524,S Samarawickrama,2020-2024,31,694,28.91,125.95,79,5,2020,2024,5,Anchor
525,D Pretorius,2012-2025,94,692,16.47,127.91,49,31,2012,2025,14,Anchor
526,M Deyal,2015-2025,46,691,18.18,129.88,68,32,2015,2025,11,Anchor
527,BAC Howell,2016-2024,53,691,23.82,144.25,49,34,2016,2024,9,Anchor
528,Jalaj S Saxena,2009-2024,71,686,17.15,88.28,67,6,2009,2024,16,Anchor
529,A Raghuvanshi,2023-2025,33,685,27.4,136.45,67,25,2023,2025,3,Finisher
530,P Kumar,2007-2018,168,680,12.83,117.64,52,31,2007,2018,12,Anchor
531,K Goel,2007-2013,44,679,19.97,91.88,57,18,2007,2013,7,Finisher
532,AH Gupta,2011-2022,38,677,20.51,98.83,62,10,2011,2022,12,Anchor
533,Mehedi Maruf,2013-2023,44,677,16.92,103.99,65,30,2013,2023,11,Anchor
534,MD Patel,2024-2025,22,677,30.77,131.45,68,24,2024,2025,2,Finisher
535,SD Chatterjee,2014-2024,40,676,21.12,111.92,73,5,2014,2024,11,Anchor
536,RA Dey,2016-2024,42,676,22.53,127.3,41,32,2016,2024,9,Anchor
537,S Chanderpaul,2007-2015,35,673,24.03,113.49,75,14,2007,2015,9,Anchor
538,CJ Jordan,2014-2025,159,673,12.69,118.07,45,28,2014,2025,12,Anchor
539,MP Breetzke,2023-2025,29,672,29.21,128.48,63,31,2023,2025,3,Anchor
540,RP Burl,2019-2025,38,672,33.6,128.0,64,28,2019,2025,7,Anchor
541,H Dalal,2019-2022,28,668,25.69,140.33,67,36,2019,2022,4,Anchor
542,J Hermann,2023-2025,30,666,25.61,113.26,66,19,2023,2025,3,Finisher
543,CS Jani,2013-2024,65,666,25.61,135.36,48,28,2013,2024,12,Anchor
544,MG Neser,2011-2025,104,666,14.47,127.34,53,22,2011,2025,15,Anchor
545,HG Munsey,2016-2025,28,663,25.5,126.04,72,29,2016,2025,10,Anchor
546,KP Singh,2019-2024,34,663,24.55,93.77,61,20,2019,2024,6,Anchor
547,DH Yagnik,2007-2017,56,662,18.91,116.96,70,18,2007,2017,11,Anchor
548,Avneesh Sudha,2019-2024,29,661,24.48,126.62,75,21,2019,2024,6,Anchor
549,M Jansen,2021-2025,87,659,20.59,131.27,41,36,2021,2025,5,Anchor
550,AS Roy,2019-2025,59,657,20.53,150.0,51,32,2019,2025,7,Anchor
551,KS Sharma,2021-2024,29,657,27.37,117.95,59,23,2021,2024,4,Finisher
552,Sumit Kumar,2019-2024,56,657,26.28,131.4,53,31,2019,2024,6,Anchor
553,AUK Pathan,2009-2016,34,656,23.42,148.75,75,28,2009,2016,8,Anchor
554,BM Duckett,2017-2025,27,655,24.25,133.67,76,13,2017,2025,9,Anchor
555,S Rana,2007-2015,42,654,22.55,111.41,54,18,2007,2015,9,Anchor
556,SS Ranjane,2013-2025,48,654,34.42,126.01,48,25,2013,2025,13,Anchor
557,Y Nagar,2009-2019,55,652,19.17,106.88,53,16,2009,2019,11,Anchor
558,E Sen,2019-2024,37,652,25.07,128.34,66,27,2019,2024,6,Anchor
559,AD Kaushik,2014-2022,31,651,22.44,107.6,57,16,2014,2022,9,Anchor
560,Nasir Jamshed,2012-2016,31,650,23.21,115.86,61,20,2012,2016,5,Finisher
561,TM Srivastava,2007-2019,34,649,28.21,116.3,63,15,2007,2019,13,Anchor
562,Azmatullah Omarzai,2022-2025,66,648,18.51,138.75,42,37,2022,2025,4,Anchor
563,TB Abell,2019-2025,32,644,24.76,127.52,73,11,2019,2025,7,Anchor
564,SU Shrivastava,2009-2019,40,639,19.36,103.56,53,5,2009,2019,11,Finisher
565,Anand Singh,2009-2021,27,638,27.73,119.47,84,16,2009,2021,13,Anchor
566,A Ashish Reddy,2009-2019,77,637,13.55,126.89,36,28,2009,2019,11,Anchor
567,NA McSweeney,2020-2025,26,637,27.69,116.88,54,14,2020,2025,6,Finisher
568,Hassan Khan,2017-2025,52,635,24.42,146.31,43,38,2017,2025,9,Anchor
569,SA Abbott,2011-2025,128,634,11.12,111.81,38,25,2011,2025,15,Anchor
570,C Connolly,2023-2025,29,633,35.16,132.98,41,29,2023,2025,3,Anchor
571,HH Khadiwale,2009-2016,26,630,24.23,124.01,69,12,2009,2016,8,Anchor
572,W Sutherland,2018-2025,63,630,18.52,134.32,33,29,2018,2025,8,Anchor
573,R Inder Singh,2009-2017,28,629,23.29,107.52,72,10,2009,2017,9,Anchor
574,L Gregory,2011-2023,44,628,20.93,133.33,51,27,2011,2023,13,Anchor
575,C Kieswetter,2009-2014,27,627,25.08,110.97,61,27,2009,2014,6,Anchor
576,R Jangid,2009-2019,51,625,15.62,118.82,60,13,2009,2019,11,Finisher
577,Salman Butt,2007-2020,26,623,24.92,109.87,80,7,2007,2020,14,Anchor
578,M Labuschagne,2017-2025,28,620,23.84,122.28,54,9,2017,2025,9,Anchor
579,VM Jadeja,2018-2024,32,617,28.04,139.9,60,21,2018,2024,7,Anchor
580,W Jaffer,2007-2012,23,616,28.0,129.14,75,11,2007,2012,6,Finisher
581,BJ Pania,2021-2024,38,614,30.7,151.23,40,39,2021,2024,4,Anchor
582,Mahidul Islam Ankon,2019-2025,42,612,24.48,139.72,30,39,2019,2025,7,Anchor
583,PWA Mulder,2023-2025,33,612,25.5,134.8,55,23,2023,2025,3,Finisher
584,Wahab Riaz,2014-2023,164,611,10.53,121.23,47,27,2014,2023,10,Anchor
585,CD Barnwell,2010-2019,59,609,16.45,114.47,32,31,2010,2019,10,Anchor
586,Sumeet Verma,2011-2024,54,607,15.56,138.58,51,31,2011,2024,14,Anchor
587,MP O'Dowd,2021-2024,23,606,30.3,108.99,56,18,2021,2024,4,Finisher
588,OF Smith,2017-2025,77,604,18.3,127.42,41,45,2017,2025,9,Anchor
589,Sameer Rizvi,2022-2025,33,601,33.38,136.9,46,32,2022,2025,4,Anchor
590,CJ Simmons,2014-2015,24,601,25.04,139.44,55,34,2014,2015,2,Finisher
591,Sunny Singh,2007-2011,33,599,23.03,119.32,66,12,2007,2011,5,Finisher
592,Puneet Yadav,2010-2017,35,598,23.0,116.34,62,12,2010,2017,8,Anchor
593,Mahmudul Hasan Joy,2022-2024,30,596,24.83,109.35,52,15,2022,2024,3,Finisher
594,RH Bhatt,2007-2018,43,595,22.03,115.08,49,11,2007,2018,12,Anchor
595,Gurinder Singh,2013-2022,59,594,25.82,121.47,35,26,2013,2022,10,Anchor
596,Ibrahim Zadran,2022-2025,25,591,23.64,109.44,60,14,2022,2025,4,Finisher
597,Babul Kumar,2019-2023,33,589,20.31,110.71,73,10,2019,2023,5,Finisher
598,TK Curran,2018-2025,64,589,20.31,136.65,59,16,2018,2025,8,Anchor
599,TF Rogers,2022-2025,34,589,19.0,119.95,66,12,2022,2025,4,Finisher
600,SB Styris,2007-2014,49,586,17.75,114.45,35,23,2007,2014,8,Finisher
601,Alok Kapali,2007-2022,73,585,16.25,96.53,42,16,2007,2022,16,Anchor
602,Aaron Jones,2023-2025,38,582,23.28,127.35,38,37,2023,2025,3,Finisher
603,Kamran Ghulam,2016-2025,29,578,24.08,123.5,48,20,2016,2025,10,Anchor
604,Ramandeep Singh,2017-2025,71,578,20.64,164.67,33,41,2017,2025,9,Anchor
605,K Nitish Kumar Reddy,2021-2025,33,577,27.47,125.16,37,28,2021,2025,5,Finisher
606,AV Vasavada,2011-2021,40,575,23.95,117.1,45,12,2011,2021,11,Anchor
607,AV Wadkar,2018-2023,28,570,23.75,103.26,50,6,2018,2023,6,Finisher
608,P Aziz,2007-2019,27,568,23.66,110.07,53,22,2007,2019,13,Anchor
