id,player,span,mat,wickets,econ,sr,start_year,end_year,career_length
1663,R Dangwal,2019-2019,5,4,7.29,25.5,2019,2019,1
1664,K Das,2016-2019,11,4,7.0,54.0,2016,2019,4
1665,KS Das,2015-2019,8,4,7.61,31.5,2015,2019,5
1666,Delwar Hossain,2019-2020,5,4,8.68,21.2,2019,2020,2
1667,JD Desai,2007-2014,19,4,11.36,16.5,2007,2014,8
1668,Pratik Desai,2007-2021,11,4,8.51,23.2,2007,2021,15
1669,S Descarte,2023-2024,11,4,9.15,19.5,2023,2024,2
1670,PU Deshpande,2015-2021,26,4,8.53,30.7,2015,2021,7
1671,S Dhawan,2007-2024,277,4,8.25,12.0,2007,2024,18
1672,JG Dill,2024-2024,3,4,10.12,12.0,2024,2024,1
1673,Dolar Mahmud,2012-2015,6,4,10.45,16.5,2012,2015,4
1674,BG Drew,2012-2012,3,4,7.5,18.0,2012,2012,1
1675,AC Evans,2016-2021,5,4,8.75,24.0,2016,2021,6
1676,Fawad Alam,2007-2012,13,4,9.5,12.0,2007,2012,6
1677,Fayyaz Butt,2021-2024,3,4,8.37,10.7,2021,2024,4
1678,MVT Fernando,2020-2023,4,4,7.9,16.5,2020,2023,4
1679,VK Galetiya,2015-2023,2,4,6.0,12.0,2015,2023,9
1680,CH Gandhi,2021-2024,11,4,5.94,52.5,2021,2024,4
1681,K Gaston,2025-2025,6,4,14.31,17.5,2025,2025,1
1682,RM Haq,2007-2009,3,4,9.25,12.0,2007,2009,3
1683,K Harish,2014-2014,3,4,7.9,15.0,2014,2014,1
1684,Haseeb Amjad,2014-2016,5,4,9.13,22.5,2014,2016,3
1685,M Hashim,2007-2010,4,4,8.07,19.5,2007,2010,4
1686,MJ Henry,2017-2024,8,4,11.02,35.2,2017,2024,8
1687,Hrishi Raj,2021-2021,2,4,9.71,10.5,2021,2021,1
1688,KAR Hodge,2018-2020,9,4,8.72,37.5,2018,2020,3
1689,Hossain Ali,2017-2017,4,4,10.14,21.0,2017,2017,1
1690,CA Ingram,2010-2025,141,4,9.0,31.5,2010,2025,16
1691,SK Ismail,2019-2021,5,4,9.05,27.5,2019,2021,3
1692,MP Jain,2021-2021,1,4,3.5,6.0,2021,2021,1
1693,S Jangir,2019-2022,5,4,6.69,19.5,2019,2022,4
1694,Jasmer Dhankhar,2022-2023,7,4,7.5,24.0,2022,2023,2
1695,NGRP Jayasuriya,2024-2024,4,4,8.92,19.5,2024,2024,1
1696,SK Jena,2010-2011,8,4,5.66,31.5,2010,2011,2
1697,VH Joshi,2009-2014,5,4,7.78,21.0,2009,2014,6
1698,Junaid Siddique,2022-2022,3,4,7.91,18.0,2022,2022,1
1699,JN Kalita,2019-2024,9,4,5.78,20.7,2019,2024,6
1700,RR Kanojia,2015-2017,10,4,6.53,45.0,2015,2017,3
1701,Kartikeya Kak,2021-2021,2,4,10.57,10.5,2021,2021,1
1702,SA Khare,2007-2007,4,4,5.5,24.0,2007,2007,1
1703,HP Kingston,2015-2017,5,4,11.16,18.0,2015,2017,3
1704,JP Kreusch,2010-2011,7,4,7.1,15.0,2010,2011,2
1705,PE Kruger,2024-2025,11,4,6.62,12.0,2024,2025,2
1706,AS Kuila,2015-2021,4,4,10.36,16.5,2015,2021,7
1707,S Kumar Singh,2021-2021,3,4,10.42,14.2,2021,2021,1
1708,Maaz Khan,2018-2020,4,4,9.0,16.5,2018,2020,3
1709,BE McGain,2010-2012,5,4,9.77,24.2,2010,2012,3
1710,LD Madushanka,2020-2023,13,4,8.8,15.0,2020,2023,4
1711,I Malhotra,2007-2012,11,4,8.37,24.0,2007,2012,6
1712,Marshall Ayub,2012-2019,8,4,5.0,6.0,2012,2019,8
1713,JB Mohapatra,2024-2024,3,4,5.66,9.0,2024,2024,1
1714,TS Moirangthem,2019-2019,4,4,7.54,16.5,2019,2019,1
1715,JK Mukhiya,2014-2014,3,4,5.75,12.0,2014,2014,1
1716,KK Nair,2013-2025,171,4,7.05,21.2,2013,2025,13
1717,A Nao,2024-2024,4,4,5.61,19.5,2024,2024,1
1718,Nishunk Birla,2024-2024,6,4,9.56,24.0,2024,2024,1
1719,PS Painkra,2023-2023,5,4,10.12,20.0,2023,2023,1
1720,P Palawat,2024-2024,7,4,8.38,19.5,2024,2024,1
1721,Pankaj Kumar,2007-2007,5,4,5.84,28.5,2007,2007,1
1722,MB Parmar,2007-2011,7,4,8.52,34.5,2007,2011,5
1723,VM Parmar,2010-2014,5,4,6.2,22.5,2010,2014,5
1724,KP Patel,2017-2021,11,4,7.31,24.0,2017,2021,5
1725,RB Patel,2007-2007,2,4,4.97,10.2,2007,2007,1
1726,JA Patil,2007-2007,3,4,6.7,15.0,2007,2007,1
1727,R Pattnaik,2022-2024,16,4,8.77,13.5,2022,2024,3
1728,MDK Perera,2014-2020,10,4,7.25,40.5,2014,2020,7
1729,GG Peters,2025-2025,3,4,8.33,18.0,2025,2025,1
1730,BJ Phillips,2009-2009,3,4,8.0,18.0,2009,2009,1
1731,G Praneeth Kumar,2013-2015,6,4,7.23,19.5,2013,2015,3
1732,R Prasanna,2007-2010,7,4,6.91,18.0,2007,2010,4
1733,R Pratap Singh,2022-2024,11,4,10.15,22.0,2022,2024,3
1734,Puneet Yadav,2010-2017,35,4,8.45,33.0,2010,2017,8
1735,AR Ramjani,2024-2024,4,4,6.0,16.5,2024,2024,1
1736,Ranjeet Singh,2007-2007,2,4,5.6,7.5,2007,2007,1
1737,Raza Hasan,2012-2018,8,4,6.25,42.0,2012,2018,7
1738,D Rohit,2019-2023,34,4,9.28,45.2,2019,2023,5
1739,BB Roy,2013-2017,13,4,9.2,52.5,2013,2017,5
1740,P Sahu,2009-2016,15,4,7.67,32.2,2009,2016,8
1741,Sajedul Islam,2013-2015,4,4,6.68,15.2,2013,2015,3
1742,GV Sarath Babu,2010-2011,4,4,9.12,12.0,2010,2011,2
1743,P Sargade,2019-2019,6,4,5.9,33.0,2019,2019,1
1744,CP Schofield,2007-2007,4,4,7.16,19.2,2007,2007,1
1745,SS Shaikh,2009-2015,18,4,10.07,21.0,2009,2015,7
1746,Sharifullah,2017-2023,4,4,8.1,15.0,2017,2023,7
1747,NS Sharma,2024-2024,3,4,6.63,16.5,2024,2024,1
1748,Shubham Sharma,2021-2021,6,4,5.63,28.5,2021,2021,1
1749,SS Sharma,2015-2017,3,4,7.08,18.0,2015,2017,3
1750,PK Singh,2023-2024,3,4,10.37,12.0,2023,2024,2
1751,S Singh,2009-2009,2,4,5.25,12.0,2009,2009,1
1752,S Sriram,2007-2011,15,4,8.1,42.0,2007,2011,5
1753,T Stubbs,2022-2025,84,4,11.5,9.0,2022,2025,4
1754,Sujit Yadav,2011-2011,2,4,5.75,12.0,2011,2011,1
1755,AA Surwar,2018-2018,4,4,8.0,15.0,2018,2018,1
1756,Tanbir Hayder,2016-2017,11,4,9.01,37.7,2016,2017,2
1757,Taranjitsingh Dhillon,2017-2021,3,4,7.18,16.5,2017,2021,5
1758,HT Tector,2021-2024,24,4,7.53,19.5,2021,2024,4
1759,DS Thilakaratne,2022-2022,3,4,8.5,12.0,2022,2022,1
1760,DC Thomas,2013-2022,87,4,12.0,13.5,2013,2022,10
1761,B Vinay Kumar,2024-2024,5,4,6.75,30.0,2024,2024,1
1762,AC Voges,2010-2018,80,4,8.41,43.5,2010,2018,9
1763,Waqar Ahmed,2013-2013,5,4,4.38,27.0,2013,2013,1
1764,CL White,2008-2020,150,4,10.6,22.5,2008,2020,13
1765,I Wijesundera,2024-2024,4,4,6.18,16.5,2024,2024,1
1766,CM Wright,2007-2009,3,4,9.8,7.5,2007,2009,3
1767,Yab Niya,2019-2023,18,4,10.93,56.2,2019,2023,5
1768,MH Yardy,2009-2010,8,4,6.2,36.0,2009,2010,2
1769,M Zondeki,2009-2009,5,4,7.16,27.0,2009,2009,1
1770,AR Bawne,2011-2024,42,3,6.92,26.0,2011,2024,14
1771,B Loomba,2009-2009,4,3,7.45,22.0,2009,2009,1
1772,BN Jadeja,2009-2009,4,3,6.44,31.6,2009,2009,1
1773,PSK Gupta,2011-2019,37,3,8.29,18.3,2011,2019,9
1774,R Suthesh,2010-2010,2,3,6.13,15.3,2010,2010,1
1775,Abhishek Bhat,2014-2017,5,3,8.84,38.0,2014,2017,4
1776,AR Adams,2011-2012,9,3,7.25,64.0,2011,2012,2
1777,Aditya Jadeja,2023-2023,7,3,7.61,36.0,2023,2023,1
1778,Aftab Ibrahim,2024-2024,3,3,8.71,14.0,2024,2024,1
1779,Ahsan Hafeez,2023-2024,6,3,10.0,16.0,2023,2024,2
1780,Aimal Khan,2023-2024,5,3,11.86,30.0,2023,2024,2
1781,MS Akhil,2021-2021,4,3,9.37,16.0,2021,2021,1
1782,S Akshay Jain,2019-2022,7,3,7.61,36.0,2019,2022,4
1783,Aks Swadhin,2022-2022,4,3,9.35,28.0,2022,2022,1
1784,Al-Amin,2015-2023,29,3,9.57,42.0,2015,2023,9
1785,K Alleyne,2021-2025,23,3,11.72,14.6,2021,2025,5
1786,M Ansari,2016-2016,3,3,10.87,16.0,2016,2016,1
1787,Arafat Khan,2022-2023,3,3,7.37,16.0,2022,2023,2
1788,B Arun Kumar,2011-2011,4,3,6.2,20.0,2011,2011,1
1789,Ashutosh Singh,2016-2024,17,3,5.5,24.0,2016,2024,9
1790,Asif Raza,2014-2014,6,3,5.6,15.0,2014,2014,1
1791,P Awasthi,2013-2019,13,3,6.68,32.0,2013,2019,7
1792,CB Bailey,2010-2010,5,3,9.3,26.0,2010,2010,1
1793,RT Bailey,2009-2009,4,3,6.0,18.0,2009,2009,1
1794,S Baliyan,2022-2022,5,3,8.0,24.0,2022,2022,1
1795,AA Bamal,2018-2018,5,3,5.85,40.0,2018,2018,1
1796,S Barik,2022-2022,5,3,9.13,30.6,2022,2022,1
1797,Basil Hameed,2022-2022,3,3,7.4,10.0,2022,2022,1
1798,M Beardman,2025-2025,2,3,7.2,10.0,2025,2025,1
1799,AS Bedi,2021-2024,5,3,8.5,36.0,2021,2024,4
1800,VM Bhardwaj,2014-2014,4,3,6.63,22.0,2014,2014,1
1801,Bhupender Chauhan,2023-2023,2,3,10.16,12.0,2023,2023,1
1802,ACR Birch,2019-2019,2,3,9.62,16.0,2019,2019,1
1803,Bishawnath Halder,2013-2013,7,3,6.95,39.6,2013,2013,1
1804,AP Bora,2024-2024,3,3,8.89,18.6,2024,2024,1
1805,DP Borah,2024-2024,5,3,10.62,20.3,2024,2024,1
1806,WG Bosisto,2017-2025,21,3,6.46,26.0,2017,2025,9
1807,AC Botha,2009-2010,5,3,6.0,12.0,2009,2010,2
1808,Mudassar Bukhari,2014-2016,10,3,6.78,53.3,2014,2016,3
1809,JA Burns,2012-2023,71,3,7.37,16.0,2012,2023,12
1810,Y Cariah,2013-2024,8,3,9.81,32.0,2013,2024,12
1811,S Chakraborty,2019-2023,12,3,8.36,38.0,2019,2023,5
1812,AR Chandran,2019-2021,4,3,9.44,18.0,2019,2021,3
1813,SSK Chaudhary,2023-2024,3,3,7.12,16.0,2023,2024,2
1814,NB Chauhan,2014-2014,3,3,10.44,18.0,2014,2014,1
1815,SK Cheruvathur,2007-2007,5,3,7.12,32.0,2007,2007,1
1816,Chetan Anand,2022-2022,5,3,8.62,29.6,2022,2022,1
1817,JA Chohan,2025-2025,4,3,6.66,24.0,2025,2025,1
1818,J Clark,2018-2018,2,3,9.4,12.3,2018,2018,1
1819,AP Das,2021-2021,9,3,8.0,50.0,2021,2021,1
1820,H Davids,2009-2018,34,3,7.58,24.0,2009,2018,10
1821,Deepak Dogra,2017-2017,2,3,7.37,16.0,2017,2017,1
1822,ST de Silva,2020-2021,11,3,11.21,12.6,2020,2021,2
1823,V Devendran,2007-2007,10,3,7.43,32.0,2007,2007,1
1824,R Dhanda,2022-2022,5,3,7.61,26.0,2022,2022,1
1825,NR Dhumal,2017-2019,3,3,7.33,18.0,2017,2019,3
1826,GS Dinusha,2023-2024,2,3,11.83,12.0,2023,2024,2
1827,J Drysdale,2024-2025,5,3,9.89,32.3,2024,2025,2
1828,BR Dunk,2011-2022,146,3,9.31,25.3,2011,2022,12
1829,A Dutt,2024-2024,2,3,5.71,14.0,2024,2024,1
1830,P Dutta,2023-2023,2,3,4.83,12.0,2023,2023,1
1831,Enamul Haque (2),2016-2024,7,3,5.25,24.0,2016,2024,9
1832,ADS Fletcher,2009-2025,224,3,8.03,19.6,2009,2025,17
1833,JS Floros,2011-2018,25,3,8.7,64.3,2011,2018,8
1834,KS Gattepalli,2025-2025,1,3,7.75,8.0,2025,2025,1
1835,RS Gavaskar,2007-2010,8,3,8.47,21.0,2007,2010,4
1836,NG Gehlot,2014-2014,8,3,8.47,40.3,2014,2014,1
1837,SS Ghosh,2021-2024,14,3,7.76,42.0,2021,2024,4
1838,JOA Gordon,2024-2024,3,3,7.33,21.0,2024,2024,1
1839,K Gore,2025-2025,13,3,8.44,18.0,2025,2025,1
1840,DMK Grant,2022-2022,2,3,6.0,16.0,2022,2022,1
1841,DC Green,2019-2019,4,3,10.5,24.0,2019,2019,1
1842,MD Gunathilaka,2014-2024,40,3,8.9,44.0,2014,2024,11
1843,NK Gupta,2021-2021,2,3,5.71,14.0,2021,2021,1
1844,AR Gupta,2014-2023,41,3,6.22,18.0,2014,2023,10
1845,OJ Hannon-Dalby,2012-2012,2,3,7.25,16.0,2012,2012,1
1846,AK Heal,2011-2012,4,3,7.16,24.0,2011,2012,2
1847,CW Henderson,2009-2011,7,3,6.82,56.0,2009,2011,3
1848,RD Hynniewta,2022-2024,6,3,8.16,24.0,2022,2024,3
1849,AV Jaiswal,2023-2023,5,3,13.75,8.0,2023,2023,1
1850,P Jayawickrama,2021-2023,4,3,6.41,24.0,2021,2023,3
1851,AA Jhunjhunwala,2007-2012,38,3,8.52,40.3,2007,2012,6
1852,Joginder Singh,2009-2011,9,3,6.94,38.0,2009,2011,3
1853,RD John,2024-2024,7,3,12.4,34.3,2024,2024,1
1854,MJ Johnston,2011-2012,7,3,8.33,36.0,2011,2012,2
1855,JK Kamande,2007-2007,2,3,12.0,8.0,2007,2007,1
1856,P Karia,2023-2023,2,3,6.12,16.0,2023,2023,1
1857,V Kashyap,2023-2023,2,3,8.0,12.0,2023,2023,1
1858,RP Kellepotha,2023-2024,3,3,7.5,20.0,2023,2024,2
1859,S Khajuria,2007-2010,5,3,7.35,34.0,2007,2010,4
1860,Khalid Usman,2018-2022,5,3,7.6,30.0,2018,2022,5
1861,Khawar Ali,2016-2021,5,3,7.33,24.0,2016,2021,6
1862,VJ Kingma,2024-2024,4,3,6.0,26.0,2024,2024,1
1863,AR Kumar,2010-2011,5,3,5.5,4.0,2010,2011,2
1864,S Lakshan,2021-2022,4,3,9.58,24.0,2021,2022,2
1865,Lalhmangaiha,2019-2022,21,3,9.38,28.3,2019,2022,4
1866,C Lamont,2018-2019,4,3,9.21,28.0,2018,2019,2
1867,ER Links,2012-2012,4,3,8.16,24.0,2012,2012,1
1868,JS Louis,2016-2024,7,3,10.18,32.0,2016,2024,9
1869,ALR Lubana,2021-2024,8,3,8.92,26.0,2021,2024,4
1870,CA Lynn,2011-2025,227,3,7.25,24.0,2011,2025,15
1871,DL Maddy,2007-2007,4,3,8.66,6.0,2007,2007,1
1872,MK Mahale,2023-2024,7,3,10.27,22.0,2023,2024,2
1873,JT Makla,2009-2010,4,3,7.52,22.3,2009,2010,2
1874,Manish Sharma,2019-2019,3,3,7.22,18.0,2019,2019,1
1875,Manoj Singh,2007-2007,3,3,4.8,20.0,2007,2007,1
1876,MJ Mason,2010-2010,4,3,6.68,32.0,2010,2010,1
1877,DK Mathias,2015-2015,4,3,7.18,22.0,2015,2015,1
1878,H McKenzie,2023-2024,6,3,7.66,36.0,2023,2024,2
1879,Mohamed Safeequddin,2024-2024,2,3,9.0,14.0,2024,2024,1
1880,Mohammad Amir Khan,2020-2024,6,3,8.85,28.0,2020,2024,5
1881,Muhammad Faizan,2020-2021,9,3,10.28,14.0,2020,2021,2
1882,F Mohammed,2007-2007,4,3,8.93,32.0,2007,2007,1
1883,TNR Mohith,2024-2024,3,3,7.27,11.0,2024,2024,1
1884,Nabam Abo,2024-2024,7,3,8.8,30.0,2024,2024,1
1885,R Ninan,2011-2011,2,3,10.83,12.0,2011,2011,1
1886,P Nirala,2019-2019,6,3,7.83,24.0,2019,2019,1
1887,Nizakat Khan,2014-2016,6,3,7.0,12.0,2014,2016,3
1888,K Noema-Barnett,2010-2010,4,3,7.41,24.0,2010,2010,1
1889,JL Ontong,2009-2014,12,3,8.58,34.0,2009,2014,6
1890,KD Pandey,2022-2024,8,3,10.7,20.0,2022,2024,3
1891,M Pasha,2007-2007,6,3,7.74,28.6,2007,2007,1
1892,M Perry,2021-2025,3,3,10.5,16.0,2021,2025,5
1893,DL Piedt,2014-2025,2,3,7.02,11.6,2014,2025,12
1894,K Pitman,2023-2024,3,3,10.22,14.6,2023,2024,2
1895,JE Poysden,2018-2018,2,3,6.0,16.0,2018,2018,1
1896,Rakesh Kumar,2009-2009,3,3,6.17,22.3,2009,2009,1
1897,AR Rana,2024-2024,3,3,5.83,12.0,2024,2024,1
1898,DB Rangi,2021-2022,8,3,7.1,29.0,2021,2022,2
1899,Ravi Kumar Yadav,2024-2024,4,3,6.27,22.0,2024,2024,1
1900,RR Rossouw,2009-2025,231,3,5.64,11.3,2009,2025,17
1901,Saad Nasim,2014-2018,14,3,6.75,16.0,2014,2018,5
1902,VK Saha,2016-2023,6,3,7.82,34.0,2016,2023,8
1903,Sahban Khan,2022-2022,6,3,5.85,27.3,2022,2022,1
1904,Sahil Lotra,2023-2024,8,3,6.85,42.0,2023,2024,2
1905,PS Sairam,2019-2019,6,3,7.0,32.0,2019,2019,1
1906,EN Sanketh,2021-2023,4,3,7.8,20.0,2021,2023,3
1907,AR Sharma,2018-2025,44,3,9.96,17.6,2018,2025,8
1908,RS Sharma,2021-2021,3,3,8.0,22.0,2021,2021,1
1909,SS Shaurya,2013-2014,4,3,5.89,18.6,2013,2014,2
1910,S Shekhar,2019-2019,3,3,6.76,21.0,2019,2019,1
1911,B Shikongo,2021-2024,5,3,10.75,16.0,2021,2024,4
1912,SS Shinde,2016-2018,4,3,8.91,22.6,2016,2018,3
1913,HV Shitoot,2007-2009,7,3,7.63,22.0,2007,2009,3
1914,Shykat Ali,2013-2024,25,3,8.76,34.6,2013,2024,12
1915,AAS Silva,2011-2011,1,3,7.25,8.0,2011,2011,1
1916,Simi Singh,2021-2022,7,3,8.7,40.0,2021,2022,2
1917,CJ Simmons,2014-2015,24,3,6.28,28.0,2014,2015,2
1918,RK Singh,2014-2025,133,3,10.08,24.0,2014,2025,12
1919,TK Singh,2019-2022,9,3,10.15,52.0,2019,2022,4
1920,VK Singh,2023-2024,13,3,7.6,56.0,2023,2024,2
1921,TAM Siriwardana,2011-2020,12,3,8.94,36.0,2011,2020,10
1922,MK Sivakumar,2007-2010,4,3,9.22,18.0,2007,2010,4
1923,DI Stevens,2012-2015,25,3,7.5,32.0,2012,2015,4
1924,C Stow,2025-2025,2,3,7.75,16.0,2025,2025,1
1925,Syed Rasel,2007-2012,8,3,8.6,46.0,2007,2012,6
1926,P Tapaswi,2021-2023,5,3,8.37,32.0,2021,2023,3
1927,YB Tembhare,2015-2015,3,3,7.87,16.0,2015,2015,1
1928,BM Tickner,2022-2022,3,3,9.71,21.0,2022,2022,1
1929,AS Tiwari,2016-2018,6,3,8.23,37.6,2016,2018,3
1930,S Upadhyay,2007-2009,6,3,5.09,22.0,2007,2009,3
1931,PS Valsangkar,2018-2019,8,3,8.0,54.0,2018,2019,2
1932,N Vanua,2021-2024,6,3,5.37,16.0,2021,2024,4
1933,PR Veer,2023-2023,2,3,5.16,12.0,2023,2023,1
1934,AS Verma,2007-2010,9,3,7.21,28.0,2007,2010,4
1935,Vikas Kumar,2024-2024,3,3,6.16,24.0,2024,2024,1
1936,I Wardlaw,2012-2012,2,3,5.75,16.0,2012,2012,1
1937,RM West,2009-2009,5,3,7.47,38.0,2009,2009,1
1938,GH Worker,2010-2019,11,3,8.06,38.6,2010,2019,10
1939,AD Yadav,2010-2010,2,3,6.8,10.0,2010,2010,1
1940,B Yeswanth,2024-2024,3,3,8.31,23.3,2024,2024,1
1941,Codi Yusuf,2023-2024,5,3,9.78,33.3,2023,2024,2
1942,HH Zhimomi,2019-2024,32,3,9.0,18.0,2019,2024,6
1943,Zohaib Khan,2016-2017,8,3,8.52,46.0,2016,2017,2
1944,V Boon,2007-2007,3,2,9.6,15.0,2007,2007,1
1945,SY Veragi,2009-2009,4,2,7.5,42.0,2009,2009,1
1946,Z Sofi,2011-2016,5,2,7.35,40.0,2011,2016,6
1947,SR Mohanty,2022-2022,5,2,8.4,15.0,2022,2022,1
1948,RJ Pinto,2009-2016,11,2,9.5,6.0,2009,2016,8
1949,DS Attri,2009-2009,2,2,7.5,24.0,2009,2009,1
1950,Aayan Afzal Khan,2022-2022,3,2,4.75,24.0,2022,2022,1
1951,TB Abell,2019-2025,32,2,9.45,20.0,2019,2025,7
1952,Abid Salam,2010-2010,3,2,5.0,24.0,2010,2010,1
1953,Adil Ayub Tunda,2024-2024,5,2,12.3,30.0,2024,2024,1
1954,K Ajay Singh,2016-2016,2,2,7.0,21.0,2016,2016,1
1955,Ali Majid,2022-2025,2,2,7.75,24.0,2022,2025,4
1956,TP Allen,2016-2016,6,2,12.0,21.0,2016,2016,1
1957,Amit Kumar,2013-2013,5,2,10.88,27.0,2013,2013,1
1958,S Anand,2019-2021,9,2,7.0,6.0,2019,2021,3
1959,AG Chouhan,2022-2022,3,2,7.4,15.0,2022,2022,1
1960,Ankit Soni,2017-2017,7,2,7.92,54.5,2017,2017,1
1961,MA Aponso,2018-2025,6,2,8.22,27.0,2018,2025,8
1962,Aqib Ilyas,2021-2024,7,2,7.05,57.0,2021,2024,4
1963,MP Arjun,2007-2010,8,2,7.78,60.5,2007,2010,4
1964,Arpit Pannu,2021-2021,3,2,7.75,36.0,2021,2021,1
1965,KB Arun Karthik,2009-2024,101,2,11.0,12.0,2009,2024,16
1966,MA Ashraf,2012-2012,4,2,8.82,25.5,2012,2012,1
1967,Asif Ali,2013-2025,150,2,9.0,9.0,2013,2025,13
1968,Asif Hasan,2015-2019,6,2,6.16,54.0,2015,2019,5
1969,SK Atai,2021-2021,3,2,7.0,15.0,2021,2021,1
1970,JJ Athanaze,2014-2014,3,2,9.0,15.0,2014,2014,1
1971,Ayaan Khan,2016-2024,7,2,7.8,15.0,2016,2024,9
1972,A Baloria,2009-2009,5,2,7.33,27.0,2009,2009,1
1973,KG Bam,2019-2021,6,2,9.97,34.0,2019,2021,3
1974,SJ Barman,2018-2018,4,2,7.13,45.0,2018,2018,1
1975,M Bean,2025-2025,2,2,9.62,24.0,2025,2025,1
1976,F Behardien,2012-2016,20,2,6.75,12.0,2012,2016,5
1977,K Bhagath Varma,2022-2022,5,2,5.81,33.0,2022,2022,1
1978,JB Bhattacharjee,2017-2017,3,2,8.9,15.5,2017,2017,1
1979,ND Bills,2012-2012,1,2,11.0,12.0,2012,2012,1
1980,C Bishnoi,2016-2022,50,2,7.5,24.0,2016,2022,7
1981,JG Bista,2015-2023,34,2,7.41,36.0,2015,2023,9
1982,J Blades,2025-2025,1,2,11.05,9.5,2025,2025,1
1983,JAR Blain,2007-2007,2,2,5.75,12.0,2007,2007,1
1984,Bobby Yadav,2019-2019,3,2,7.7,30.0,2019,2019,1
1985,UU Bose,2013-2021,43,2,8.16,25.0,2013,2021,9
1986,GB Brent,2007-2007,2,2,7.57,21.0,2007,2007,1
1987,JS Buckingham,2025-2025,3,2,9.6,30.0,2025,2025,1
1988,S Burger,2010-2010,1,2,8.25,12.0,2010,2010,1
1989,RJ Campbell,2016-2016,3,2,6.8,30.0,2016,2016,1
1990,JC Carmichael,2022-2023,8,2,9.95,42.5,2022,2023,2
1991,K Carver,2018-2018,1,2,7.25,12.0,2018,2018,1
1992,P Chamoli,2019-2019,3,2,10.65,29.0,2019,2019,1
1993,P Chandila,2016-2022,25,2,8.5,24.0,2016,2022,7
1994,V Chanwaria,2011-2014,2,2,7.0,18.0,2011,2014,4
1995,J Charles,2012-2025,204,2,11.04,12.5,2012,2025,14
1996,D Chauhan,2007-2009,4,2,7.0,27.0,2007,2009,3
1997,HM Chauhan,2024-2024,2,2,7.57,21.0,2024,2024,1
1998,PR Chauhan,2019-2022,9,2,9.71,21.0,2019,2022,4
1999,HB Chetri,2021-2024,12,2,9.85,21.0,2021,2024,4
